"ORIGIN_AIRPORT","no_flights","AIRPORT","CITY","STATE","COUNTRY","LATITUDE","LONGITUDE"
"BGR",363,"Bangor International Airport","Bangor","ME","USA",44.80744,-68.82814
"BHM",12282,"Birmingham-Shuttlesworth International Airport","Birmingham","AL","USA",33.56294,-86.75355
"BIL",2851,"Billings Logan International Airport","Billings","MT","USA",45.80766,-108.54286
"BIS",3382,"Bismarck Municipal Airport","Bismarck","ND","USA",46.77411,-100.74672
"BJI",664,"Bemidji Regional Airport","Bemidji","MN","USA",47.50942,-94.93372
"BLI",704,"Bellingham International Airport","Bellingham","WA","USA",48.79275,-122.53753
"BMI",2620,"Central Illinois Regional Airport at Bloomington-Normal","Bloomington","IL","USA",40.47799,-88.91595
"BNA",46371,"Nashville International Airport","Nashville","TN","USA",36.12448,-86.67818
"BOI",11524,"Boise Airport (Boise Air Terminal)","Boise","ID","USA",43.56444,-116.22278
"BOS",104804,"Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518
"BPT",905,"Jack Brooks Regional Airport (Southeast Texas Regional)","Beaumont/Port Arthur","TX","USA",29.95083,-94.02069
"BQK",869,"Brunswick Golden Isles Airport","Brunswick","GA","USA",31.25903,-81.46631
"BQN",1331,"Rafael Hernández Airport","Aguadilla","PR","USA",18.49486,-67.12944
"BRD",582,"Brainerd Lakes Regional Airport","Brainerd","MN","USA",46.39786,-94.13723
"BRO",2258,"Brownsville/South Padre Island International Airport","Brownsville","TX","USA",25.90683,-97.42586
"BRW",822,"Wiley Post-Will Rogers Memorial Airport","Barrow","AK","USA",71.28545,-156.766
"BTM",647,"Bert Mooney Airport","Butte","MT","USA",45.9548,-112.49746
"BTR",6983,"Baton Rouge Metropolitan Airport","Baton Rouge","LA","USA",30.53316,-91.14963
"BTV",2884,"Burlington International Airport","Burlington","VT","USA",44.473,-73.15031
"BUF",16476,"Buffalo Niagara International Airport","Buffalo","NY","USA",42.94052,-78.73217
"BUR",18527,"Bob Hope Airport (Hollywood Burbank Airport)","Burbank","CA","USA",34.20062,-118.3585
"BWI",84329,"Baltimore-Washington International Airport","Baltimore","MD","USA",39.1754,-76.6682
"BZN",3557,"Bozeman Yellowstone International Airport (Gallatin Field Airport)","Bozeman","MT","USA",45.7769,-111.15301
"CAE",5026,"Columbia Metropolitan Airport","Columbia","SC","USA",33.93884,-81.11954
"CAK",5974,"Akron-Canton Regional Airport","Akron","OH","USA",40.91631,-81.44247
"CDC",572,"Cedar City Regional Airport","Cedar City","UT","USA",37.70097,-113.09858
"CDV",652,"Merle K. (Mudhole) Smith Airport","Cordova","AK","USA",60.49183,-145.47765
"CEC",173,"Del Norte County Airport (Jack McNamara Field)","Crescent City","CA","USA",41.78016,-124.23653
"CHA",4125,"Chattanooga Metropolitan Airport (Lovell Field)","Chattanooga","TN","USA",35.03527,-85.20379
